OUTAGE_NO,TIME_STAMP,TIME_MOD,REGION_NO,DISTRICT_NO,SUBS_NO,FEEDER_NO,DEV_CAT,DEV_ID,ADDRESS,PRIMARY_RPT,NO_CALLS,CUST_AFF,CRIT_CUST,KVA_AFF,CUST_HRS,RPTD_DONE,RPTD_DATE,RPTD_COMT,DIAG_DONE,DIAG_DATE,DIAG_COMT,DISP_DONE,DISP_DATE,DISP_COMT,ARIV_DONE,ARIV_DATE,ARIV_COMT,CAUS_DONE,CAUS_DATE,CAUS_COMT,RPAR_DONE,RPAR_DATE,RPAR_COMT,REST_DONE,REST_DATE,REST_COMT,VERF_DONE,VERF_DATE,VERF_COMT,PHASES,AFRM_DONE,AFRM_DATE,AFRM_COMT,HAZARD,EST_REPAIR_TIME,HAZARD_LEVEL_CODE,NODE,WORK_ORDER_NO,OUTAGE_TYPE,EST_OVERRIDE,OUTAGE_CMNT,DEV_FPOS,MAX_CUST_AFF,CUR_CUST_AFF,TOTAL_CUST_AFF,CUST_AFF_CUMUL,CUST_AFF_CHG_DATE,PRINT_DATE,AVG_MIN_OUT,STAT_CALL,ATTN,NEEDS_UPDATE_PRIME_RPT,HAZARD_COUNT,DEV_NAME,COMMENT_CAT_NO,OUTAGE_OAR_CODE,X1,Y1,X2,Y2,LINE_ID,LINE_NAME,FROZEN_FLAG,PEND_DONE,PEND_DATE,METER_ROUTE,METER_CYCLE,OUTAGE_COMMENT,SUB_AREA,NEEDS_CUSTMIN_RECALC,SG_KEY,SY_STATUS,MOMENTARY_OUTAGE,WAS_ORPHANED,INCD_DONE,INCD_DATE,ARCH_DONE,ARCH_DATE,ABB_INT_ID,CURRENT_EST_REPAIR_TIME,OP_CENTER_ID,IN_SYSTEM,DEVCAT,JOB_NO,CIVIL_DISTR_NAME,MAX_KVA_AFF,OUTAGE_TYPE_KEY,CURRENT_FEEDER_NO,BPHASES,RELATED_EVENT,ITR_EXPIRED_TIME,ETR_EXPIRED_TIME,MASTER_OUTAGE_NO,CBOK_METHOD,SECONDARY,ACCNO,OPERATOR,ORDER_NUMBER,SPID,WAS_PLANNED,REQC_DONE,REQC_DATE,ALT_DEVICE_FPOS,ALT_DEVCAT,ALT_DEV_ID,RESTORATION_VERIFY,KEY_CALL_COMMENTS,OP_COMP,PRIORITY,KEY_CALL_NO,PERSONNEL_STANDING_BY,EST_REPAIR_EXPIRY,REST_CALLBACK_DONE,REST_CALLBACK_DATE,EXTERNAL_ID,ASSET_DATA_ERROR_FLAG,ACK_DONE,ACK_DATE,CUR_DEV_TIMESTAMP,FE_KEY,TEST_MODE,SERVICE_CODE,BUILD_TYPE,BLOCK_MOBILE_OUTBOUND,WORK_TAG_COUNT,SCADA_INITIATED,DERIVED_PRIORITY,PRIORITY_OVERRIDE,EST_RES_DATE
207160,10/16/2016 0:39,10/17/2016 13:58,,1003,2021,25544,DEVICE,RCL_F1605_P621_24923,36 NEWTON RD WOODBRIDGE,734023,,,0,0,,X,10/16/2016 0:08,,X,10/16/2016,,,,,,,,,,,,,,X,10/16/2016 0:52,,,,,ABC,X,10/16/2016,,,10/16/2016 2:45,,24764,,,,"Pole 625 hit broken frontier pole  notified Frontier needed to deenergize pre swiched to minmize outage closed recloser p1868 , opened disconn p-665 then opened recloser p-621 denergizing then closed recloser p-621 short outage.",45260,85,0,,39.667,10/16/2016,,,1,N,1,,F1605_Recloser_400A,0,0,928485,690910,928485,690910,,,,,,,,,1003,,108,0,N,,X,10/17/2016,_,,24923,10/16/2016,,,19,,Woodbridge,1537,0,25544,ABC,,,,,,,,,,0,,,,,,,X,,,,,_,X,1,10/16/2016,,0,,,10/16/2016,,,,,0,,,7,0,
215422,9/25/2017 11:17,9/25/2017 11:28,,1002,2036,167388,DEVICE,FUSE_F473Y_P576_167333,1185 HIGH ST FAIRFIELD,,,,0,0,,X,9/25/2017 11:17,,X,9/25/2017,,,,,,,,,,,,,,X,9/25/2017 11:27,,,,,ABC,X,9/25/2017,,,9/25/2017 13:00,,164747,,,,operator error,23778,138,0,,11.5,9/25/2017,,,2,N,1,,F473Y_140K_Cutout Fuse_10775,0,0,863169,625162,863169,625162,,,,,,,,,1002,,108,0,N,_,X,9/25/2017,_,,167333,9/25/2017,,,18,,Fairfield,696,0,167388,ABC,,,,,,,,,,0,,,,,,,X,,,,,_,X,1,9/25/2017,,0,X,9/25/2017,9/25/2017,,,,,0,,,7,0,
203982,7/8/2016 8:11,7/8/2016 8:38,,1004,2040,156193,DEVICE,FUSE_F3657_P1704_156126,859 BOSTON POST RD  BUS MILFORD,720140,,,0,0,,X,7/8/2016 8:11,,X,7/8/2016,,_,,,_,,,,,,,,,X,7/8/2016 8:36,,,,,ABC,X,7/8/2016,,,,,154713,,,,address 851 had part power middle phase blown not outage refused full service restored.,31124,1,0,,24.9,7/8/2016,,,,N,1,,F3657_15K_Cutout Fuse_4958,0,0,916688,645411,916688,645411,,,,,,,,,1004,,108,0,N,_,X,7/8/2016,_,,156126,,,,18,,Milford,50,0,156193,ABC,,,,,,,,,6.00054E+11,0,,,,,,,X,,,,,_,X,1,7/8/2016,,0,X,7/8/2016,7/8/2016,,,,,0,,,7,0,
213850,8/8/2017 7:47,8/8/2017 8:15,,1001,2032,12428,CUSTOMER,XFR_F1541_P7561_11730,SMITH AVE 501 NEW HAVEN,780064,,,0,0,,X,8/8/2017 7:46,,X,8/8/2017,,,,,,,,,,,,,,X,8/8/2017 7:48,,,,,A C,_,,,,8/8/2017 9:30,,11853,,,,part of 213850,32746,1,0,,1.317,8/8/2017,,,1,N,1,,OH_P7561_NEHA_DR,0,0,966825,681353,966825,681353,,,,,,,,,1001,,109,0,Y,,X,8/8/2017,_,,11999,8/8/2017,,,92,,New Haven,0,0,46357,AC,,,,,,,5000063402,,,,,,,,,,X,,,,,_,X,1,8/8/2017,,0,X,8/8/2017,8/8/2017,,,,,0,,,7,0,
204038,7/9/2016 7:35,7/11/2016 14:08,,1004,2004,125356,SERVICE TRANSFORMER,XFR_F2734_P7513_743473,350 KING ST STRATFORD,720346,,,0,0,,X,7/9/2016 7:34,,X,7/9/2016,,_,,,_,,,,,,,,,X,7/9/2016 10:02,,,,,ABC,_,,,,7/9/2016 10:50,,488750,,,X,customer has part power its on customer end all. I verified full power coming in on our side. customers electrician has been notified,48272,1,0,,0,7/9/2016,,,2,N,1,,OH_P7513_STRA_,0,0,894184,632965,894184,632965,,,,,,,,,1004,,107,0,N,,X,7/11/2016,_,,662345,,,,8,,Stratford,50,0,125356,ABC,,,,,,,,,6.00054E+11,,,,,,,,X,,,,,_,X,1,7/9/2016,,0,X,7/9/2016,7/9/2016,,,,,0,,,7,0,
203736,7/3/2016 7:27,6/5/2017 10:35,,1003,2021,28188,SERVICE TRANSFORMER,XFR_F1608_P1034_5885,11 PECK HILL RD WOODBRIDGE,718784,,,0,0,,X,7/3/2016 7:27,,X,7/3/2016,,_,,,_,,,,,,,,,X,7/3/2016 9:15,,,,,A,X,7/3/2016,,,7/3/2016 9:00,,27327,,,,"Bird cntct on P1034, rfsd and rstrd pwr",10110,2,0,,128.567,7/3/2016,,,2,N,1,,OH_P1034_WOOD_,0,0,921634,690421,921634,690421,,,,,,,,,1003,,108,0,N,,X,7/5/2016,_,,27489,7/3/2016,,,8,,Woodbridge,37,0,28188,A,,7/3/2016,,,,0,,,6.00052E+11,0,,,,,,,X,,,,,_,X,1,7/3/2016,,0,X,7/3/2016,7/3/2016,,,,,0,,,7,0,
219662,1/15/2018 14:22,1/15/2018 14:24,,1004,2003,91441,CUSTOMER,XFR_F2633_P2170_24906,MEADOWVIEW AVE 35 STRATFORD,815830,,,0,0,,X,1/15/2018 14:22,,X,1/15/2018,,,,,,,,,,,,,,X,1/15/2018 14:24,,,,,B,_,,,,1/15/2018 16:00,,90783,,,,Command center shows full power.,18076,1,0,,2.333,1/15/2018,,,2,N,1,,OH_P2170_STRA_,0,0,893872,623309,893872,623309,,,,,,,,,1004,,109,0,Y,,X,1/15/2018,_,,91107,1/15/2018,,,92,,Stratford,0,0,91441,B,,,,,,,5000406402,,,,,,,,,,X,,,,,_,X,1,1/15/2018,,0,X,1/15/2018,1/15/2018,,,,,0,,,7,0,
213524,7/24/2017 6:47,7/25/2017 6:47,,1001,2027,57932,DEVICE,FUSE_F1754_P1371_57856,20 FRANKLIN ST NORTH HAVEN,777619,,,0,0,,X,7/24/2017 6:47,,X,7/24/2017,,_,,,_,,,,,,,,,X,7/24/2017 8:28,,,,,C,X,7/24/2017,,,7/24/2017 11:04,,57644,,,X,Brkn c/o on P1371 rplcd and rstrd pwr,5975,17,0,,1171.583,7/24/2017,,,1,N,1,,F1754_15K_Cutout Fuse_1010,0,0,970810,703776,970810,703776,,,,,,,,,1001,,108,0,N,_,X,7/25/2017,_,,57856,7/24/2017,,,18,,North Haven,62,0,57932,C,,7/24/2017,,,,,,,6.00166E+11,0,,,,,,,X,,,,,_,X,1,7/24/2017,,0,X,7/24/2017,7/24/2017,,,,,0,,,7,0,
208789,12/17/2016 12:30,12/17/2016 12:54,,1002,2035,131105,CUSTOMER,XFR_F2801_P4256_7270,BEACON HILL TER 45 SHELTON,743647,,,0,0,,X,12/17/2016 12:30,,X,12/17/2016,,,,,,,,,,,,,,X,12/17/2016 12:32,,,,,A,_,,,,,,130344,,,,part of earlier outage event 208778,25671,1,0,,2.267,12/17/2016,,,2,N,1,,OH_P4256_SHEL_,0,0,892844,671361,892844,671361,,,,,,,,,1002,,109,0,Y,,X,12/17/2016,_,,130732,12/17/2016,,,92,,Shelton,0,0,131105,A,,,,,,,5000198412,,,,,,,,,,X,,,,,_,X,1,12/17/2016,,0,X,12/17/2016,12/17/2016,,,,,0,,,7,0,
213513,7/22/2017 14:26,7/24/2017 10:07,,1001,2032,18520,SERVICE TRANSFORMER,XFR_F1545_P1745_661,8 HUBBARD RD NORTH BRANFORD,777572,,,0,0,,X,7/22/2017 14:14,,X,7/22/2017,,_,,,_,,,,,,,,,X,7/22/2017 14:57,,,,,B,X,7/22/2017,,,7/22/2017 16:00,,17671,,,,"pre-conversion work: houses: 1 BURR HILL RD, 1 CHIDSEY DR, 14 and 24 HUBBARD RD",7062,4,0,,190.3,7/22/2017,,,2,N,1,,OH_P1745_NOBR_DR,0,0,994028,674542,994028,674542,,,,,,,,,1001,,108,0,N,,X,7/24/2017,_,,17821,7/22/2017,,,8,,North Branford,25,0,18520,B,,,,,,0,,,6.00166E+11,0,,,,,,,X,,,,,_,X,1,7/22/2017,,0,X,7/22/2017,7/22/2017,,,,,0,,,7,0,
